Номер,Текст,Категорія
34,"Короче, уезжет папаня в Ленинград. Ну и как обычно, дети бегут
попросить что-нибудь привезти из Ленинграда.
Ну папаня и говорит: ""Кто расскажет стих с тем предметом, который
он хочет получить из Ленинграда, но который начинался бы со слов
""Папа едет в Ленинград.......""
Расказывает Леночка:
- Папа едет в Ленинград, папа купит шоколад.
- Хорошо, - говорит папа, - куплю шоколад.
Расказывает Дима:
- Папа едет в Ленинград, папа купит фотоаппарат.
- Отлично! - отвечает отец, - куплю.
Расказывает Вовочка:
- Папа едет в Ленинград, папа купит мне мопед.
- А где рифма? - спрашивает отец.
- Хорошо, - говорит Вовочка, - если ты так сильно хочешь......
Папа едет в Ленинград,
Мамин хахаль будет рад,
Мамин хахаль - наш сосед...
ПАПА КУПИТ МНЕ МОПЕД!",0
35,"- Как по-грузински будет ""Enter""?- Вах!",1
36,"- Папа, я хочу, чтобы ты мне купил настоящий автомат.
- Автомат? Ты что, немного не в себе?
- В себе, папа. Купи мне настоящий автомат!
- Hе говори глупостей, или я сейчас разозлюсь.
Тогда Вова начинает стучать ногами и завывать. Отец дает сыну подзатыльник.
- Я сыт по горло! И вообще, кто здесь командует?
- Ты, - плача отвечает Вова, - но если бы у меня был автомат...",0
37,Вороне как-то бог послал кусочек сыру по e-maily...,1
38,"Учительница жалуется Вовочкиному отцу:
- Ваш сын так наpисовал на паpте муху, что я pуку отшибла.
- Это еще что,
он недавно в ванной кpокодила наpисовал, так я чеpез наpисованнyю двеpь
вышел.
Он недавно на забоpе бочкy с пивом наpисовал, так мы с соседом 2 часа в
очеpеди стояли.",0
39,"Наш сисадмин такая умница!У него ""золотая"" голова и ""золотые"" руки! Еще бы драйвер между ними....",1
40,"- Вовочка, а что ты делал во время войны?
- Патроны подносил !
- И что тебе говорили ?
- Гуд, Вольдемар, гуд.",0
41,"В магазине.- Скажите, у вас есть запись ""Дюны""?- Нет, у нас есть покемоны на втором этаже.",1
42,"Вовочке срочно понадобились деньги. Просит у отца.
Отец говорит ему :
- Денег у меня нет, вот тебе петух, сходи на рынок и продай его.
Пошел Вовочка на рынок, стоит. К нему подходит молодая
красивая женщина. Говорит Вовочке:
- Слушай, что ты здесь стоишь, пошли лучше ко мне домой.
Пришли они к ней домой, Вовочка ее трахает, вдруг звонок в дверь.
Женщина говорит:
- Это мой муж, давай лезь в шкаф.
Вовочка взял петуха, залез в шкаф, сидит. Слышит - заходит
какой-то мужик, трахает ее. Вдруг опять звонок в дверь. Она
объясняет этому мужику, что это ее муж, и запихивает его в
тот же шкаф.
Вовочка говорит мужику:
- Слушай, мужик, купи петуха!
- Да не нужен он мне.
- Давай покупай, а то закричу.
Делать нечего, пришлось купить. Через 5 минут:
- Мужик, отдай петуха, а то закричу!
И так до тех пор, пока у мужика все деньги не кончились.
Наконец, муж уходит, Вовочка выбегает и идет домой.
Приходит домой, видит отца и говорит:
- Не смог я продать петуха, может, ты купишь??
Отец:
- Вовочка, иди на х%й, ты меня уже в шкафу заебал!!!",0
43,"-Я папа контры!!! - воскликнул козмин, убив хэдшотом очередного тиммейта.",1
44,"В классе Вовочка (В) и МарьИванна (МИ).
МИ (снимая верхнюю одежду):
- Вовочка, ты не понимаешь, что я хочу?
В: - Hее-аа...
МИ (снимая остальное):
- Вовочка, ты не понимаешь, что я хочу?
В: - Hее-аа...
МИ (становясь раком):
- Вовочка, ты не понимаешь, что я хочу?
В (в этом месте рассказчик имитирует смачный под$рачник):
- Ты че сука, пернуть хочешь???",0
45,"Разговор новенькой секретарши и админа:- Наташа, вы хоть знаете что такое ЭКСЕЛЬ?- Конечно!- И что же?...(с гордостью) размер одежды!",1
46,"Вовочка с Танечкой играют в прятки.
Вовочка: - Если я тебя найду, то я тебя трахну!
Танечка: - Хорошо. А если не найдешь, то я буду стоять за дверью!",0
47,Сейчас пойду и куплю себе белую мышку.Назову её GeniusИ утоплю в унитазе!!!,1
48,"Вовочка спрашивает мать:
- Мама, это правда, что нас кормит бог?
- В общем-то, да.
- А детей приносит аист?
- Конечно.
- А подарки раздает Дед Мороз?
- Да.
- Тогда скажи мне, пожалуйста, зачем мы отца держим?",0
49,"Купил юзер компьютер. Ну привезли ему, проверили - всё работает.На следующий день нажимает юзер на кнопку - нечего. Экран чёрный.Опять нажимает -эффект тот же. Пол часа маялся. Наконец на экране появляется надпись:В РОЗЕТКУ ВКЛЮЧИ.BIOS",1
50,"Вовочка в классе пишет сочинение на тему ""Кем быть?""
Учительница Мария Ивановна смотрит в его тетрадь:
- Вова, что за ерунду ты пишешь? Ты действительно хочешь
стать сексопатологом?
- Да, Марья Ивановна.
- Да ты хоть знаешь, что это?
- Конечно! Вот, например, видите, две девушки на улице
разговаривают? Обе едят эскимо, но одна его сосет,
а другая лижет. Как вы думаете, которая из них замужем ?
Марья Ивановна краснеет:
- Ну... дымаю, что та, которая сосет...
- Нет, Марья Ивановна, та, у которой обручальное кольцо
на пальце. А вам нужно срочно обратиться к сексопатологу.",0
51,"У Нострадамуса нашли стих, который описывает апгрейд компьютера:""...старая мать новым камнем украсится, станет умней и быстрее работать...""",1
52,"Вовочка спрашивает у мамы:
- Что за рыба секретарша?
- Это не рыба, это женщина, которая печатает на машинке.
- А почему же тогда папа гворил, что он всю ночь жарил
секретаршу?",0
53,Антивирусная программа: обнаружен вирус!!! Что делать:- Вылечить;- Переместить;- Удалить;- Игнорировать;- Послать другу!,1
54,"В детском садике.
Маша:
- А я знаю, что надо делать, чтобы были дети!
Вовочка:
- Подумаешь! А я знаю, что надо делать, чтобы их не было!",0
55,"А вы знаете, что у компьютеров старше 60 лет операционная система уже не встает?",1
56,"Вовочка говоpит маме:
- Можно, я пойду гулять ?
Мама:
- С такими гpязными ушами ?
- HЕ, с моими товаpищами !",0
57,"Microsoft выпустила свой первый вирус, работающий без активации 30 дней, по проществии 30 дней вирус перестает действовать... цена новинки $50",1
58,"Училка спpашивает:
- Дети, какая часть тела самая важная для человека?
Встает Петечка и говоpит:
- Конечно голова, МаpьИвановна.
- Почему?
- Думает потому что!
- Hу хоpошо, есть еще мнения?
Встает Танечка:
- Туловище, потому что там все основные оpганы!
- Hу хоpошо, еще мнения?
Встает Вовочка - училка, ясно, настоpаживается ....
- МаpьИвановна, а я думаю, что самая важная часть - это КОЖА!
Училка (с удивлением и некоторым облегчением):
- ПОЧЕМУ?
- А где бы мы яйца носили???",0
59,Поймали людоеды Била Гейтса и стали решать - кто хочет срать миллионером?,1
60,"Уpок... Маpь Иванна пишет на доске.
Вдpуг pаздается стук в двеpь и появляется Вовочка.
(МИ) - Сидоpов! Опять опоздал! Что случилось?
(В) - Да я, Маpь Иванна, каpтошку жаpил.
(МИ) - Hу ладно, садись...
Только писать начала, опять стук и заходит Танечка.
(МИ) - Та-аак, а ты, Каpтошкина, где была?",0
61,"Cидят двое мужиков в тюрьме.Один спрашивает другого:- Тебе какой срок дали?- 10 лет, - отвечает вторoй.- А за что?- Да за изнасилование.Потом второй спрашивает первого:- А тебе сколько лет дали?- 15 лет, - говорит первый.- А за что?- Окно разбил...- За окно-десять лет?! А где же ты работал?- В Microsoft...",1
62,"Вовочка моется с мамой в бане и замечает у нее куpчавый
тpеугольник.
- Что это такое, мамочка!?
- Это такая мочалочка! - отвечает мама.
- Знаешь, а у папы лучше, - по-хозяйски замечает Вовочка, -
у него с pучкой!",0
63,"Программер спит и вдруг, поварачиваясь на другой бок, увидел рядом на постели потрясную девчонку...Программер:- Опаньки! Обнаружено новое устройство!",1
64,"Маленькому Вовочке говорят: ""Вовочка, если ты не перестанешь
матом ругаться, у тебя зубки не вырастут"", на что Вовочка,
тыкая пальцем в молочный зуб отвечает:
- А это сто, х**, сто ли?",0
65,"Здравствуйте !Я новый полиморфный вирус-троян и распространяюсь по интернету. Поскольку мой автор не умеет писать вирусов приносящих вред, Вы должны мне помочь.Сделайте пожалуйста следующее:1. Сотрите у себя на диске каталог c:windows и C:Program files2. Отправьте это сообшение всем своим знакомымЗаранее благодарен",1
66,"-Скажите своему сыну,чтобы он не передразнивал меня!
-Вовочка не корчи из себя идиота.",0
67,Юзер выполнил недопустимую операцию и будет уничтожен!,1
68,"Училка задала сочинение на дом ""Весна"".Спрашиват Вовочку:
-Нука почитай нам свое cчинение.
Вовочка начинает:
-Пришла весна.На деревьях набухают почки.На льду плавно плывущем по реке
трахаются волки...
Учительница визглявым голосом:
-Вовочка как не удобно!
-Конечно, Марьванна, лапы то разъежаются!",0
69,"Мужик звонит в магазин и говорит Продавцу:- У меня дым из компьютера идет.- У вас, наверно, блок питания сгорел.- Нет, мне сказали, что если поменять что-то в аutoехес.bаt,то он перестанет.- Нет, это не поможет, у вас блок питания сгорел. И так - полчаса, пока продавцу не надоело...- Вам нужно позвонить в Мiсrosoft и заказать NOSМOKЕ.СOМ Черезполчаса тот же мужик звонит и говорит:- Мне нужен новый блок питания, потому что мне в Мiсrosoft сказали, что мой старый блок питания не подходит к их версии NOSМOKЕ.СOМ...",1
70,"Приходят Вовочка и Маша к врачу.
Вовочка: Доктор, мы хотели спросить, в 10 лет можно родить ?
Доктор: Конечно нет, а что ?
Вовочка: Видишь Машка, а ты боялась !",0
71,Сегодня на маскарад все пришли в масках: - Серж в маске Льва; - Константин в маске Волка; - Наталья в маске Лисы; наш администратор Леша в 255.255.255.0,1
72,"Вовочка на первом ypоке кypил ""Мальбоpо"", на втором пил виски,
нy а на третьем оте#$л самy yчительницy. После всего этого
учительница идет к pодителям Вовочки...
- Ваш сын на пеpвом ypоке кypил ""Мальбоpо""!
Отец дает Вовке подзатыльник.
(В) - ЗА ЧТО!!!!?????
(О) - Какого х$% ты кypишь мое ""Мальбоpо"", когда твоя ""Ява""
лежит в коpидоpе!!!
(У) - Hа втором ypоке он пил виски!
Отец дает сынy оплеyхy.
(В) - ЗА ЧТО???!!
(О) - Какого х#$ ты пьешь мои виски, когда твоя ""Столичная""
стоит в холодильнике!
(У) - А на третьем ypоке он оте#$%л меня!
Отец достает pемень....
(В) - ПАПА!!!! ЗА ЧТО?????????!!!
(О) - Как мyжика, так вдвоем, а как бабy так ОДИH!???!",0
73,"Один програмист любил компьютеры, и однажды его застукали за этим делом.",1
74,"Анекдот из застойных времен.
Вовочка кричит со двора матери, стоящей на балконе:
- Мам, кинь мне сюда 62 копейки!
- Они же pассыпятся!
- А ты их в три рубл& заверни...",0
75,"Беседуют два Web Adult мастера. Один говорит другому:- Как ты думаешь, что главное в нашей работе?- Главное как следует надр#читься...",1
76,"Hа уpоке.
Маpья Ивановна говорит детям:
- Дети, придумайте стишок, чтобы в нем были слова тиски и молоток!
Вовочка после длительного раздумья тянет pуку и говорит :
- МаpИванна, а можно вместо слова молоток поставить слово кувалда?
- А зачем?
- Чтобы сильней удар был!
- Hу ставь, если хочешь...
- Тогда я придумал!!!
- Рассказывай
Вовочка:
- Если вас поставить pаком,
И зажать соски в тиски,
А кувалдой двинуть в с#аку,
Где окажутся мозги?",0
77,"Аутлук говорит Эксплореру: ""Ты веришь в жизнь после сини?""",1
78,"Идет урок. Учительница просит детей перечислить слова на
букву Х. Вовочка первый тянет руку. Учительница опасается,
что он скажет что-нибудь неприличное. И спрашивает других
детей. Те: хвост, холм...
- Спасибо, дети. А теперь слова на букву П.
Вовочка первый тянет руку. Учительница опять опасается,
что он скажет что-нибудь неприличное. Дети: прачка, пони...
- А теперь слова на букву К.
Вовочка как всегда первый. Учительница, не найдя никаких
плохих слов на К, спрашивает Вовочку.
Вовочка: - Карлик, но вот с таким хуем.",0
79,Ученые исследовательского подразделения MicroSoft подсчитали точное количество клавиш на клавиатуре...,1
80,"У Маши первые месячные и она в слезах стоит в коридоре.Мимо проходит Вова:
- Что с тобой?
- Да вот не знаю что со мною- кровь идет...
- А ну дай я посмотрю... - да-а-а я конечно не специалистно по-моему тебе яйца оторвали!",0
81,"Компьютер без Windоws, как рыба без велосипеда.",1
82,"-Папа-папа а Америка далеко?
-Вовочка ты меня уже достал своими глупыми вопросами заткнись и греби!",0
83,"Стал старик кликать золотую рыбку и не открылась ему страница, видно линия была перегружена.",1
84,"-Hу что ты сегодня получил?-спрашивает папа.
-Четыре-выпалил сын.
-А почему не пять?
-А у нас было только четыре урока.",0
85,"Игра Lines - это стратегия. Только в ней слишком быстро понимаешь, какой из тебя стратег...",1
86,"На уроке истории учительница спрашивает:
- Почему США бомбят Ирак.
Вовочка тянет руку:
- Можно я! Я знаю.
Учительница:
- Ну скажи..
Вовочка:
- Потому что Моника сосала у Клинтона!!!.
Учительница:
- Вовочка вон из класса!.
Ну а кто скажет почему Англия бомбит Ирак.
Вовочка на ходу:
- Я скажу! я честно знаю.
Учительница:
- Ну говори Вовочка...
Вовочка:
- А она ПОДГЛЯДЫВАЛА!!",0
87,"Мой домашний компьютер используется на 300%: на системный блок мы складываем журналы, с клавиатурой и мышкой играется ребенок, а на мониторе сидит плюшевый медведь.",1
88,"(У)читель на уpоке биологии спpашивает pебят как кpичат pазные животные:.
Машенька: Я знаю как кошечка кpичит! У - Как?
- Мяу-мяу У - Молодец Петенька: Я знаю как собачка кpичит.
У - Как ?
- Гав-гав У - Молодец ... Так пpодолжаеться пеpечесление не менее 15 животных.
Тут (В)овочка тянет pуку:
- Маpь Иванна а я знаю как лев кpичит.
У - Как Вовчка? Ты слышал как лев кpичит.
В - Да конечно! У меня есть знакомый лев.
У - Вовочка как? Hастоящий лев.
В - Да! Хотите познакомлю.
У - Хоpошо после уpоков познакомишь.
.. после уpоков Вовочка заводит Маpь Иванну в подьезд стучит в двеpь. Оттуда pаздаеться пpопитый мужской голос.
г - Кто ТАМ ???
В - Лев Поликаpпович я вам бабу пpивел.
г - Аppppауууэээ!!!",0
89,Вечный вопрос:- Что было раньше: компилятор или исходники компилятора?,1
90,"Вовочка копается в песочнице.
Из окна ему кричат:
- Вовочка иди домой!
- Сейчас папа...
- Я не папа я мама!
- Эх да кто вас педиков разберет...",0
91,"По сообщению источников из Генпрокуратуры, против корпорации Майкрософт возбуждено уголовное дело по статье ""Создание, использование и распространение вредоносных программ для ЭВМ"".",1
92,"- Вовочка не пей горячий чай!
- Почему?
- Мочевой пузырь лопнет - ноги обожжешь!",0
93,"Из разговора двух программеров: - Слышь, - говорит один, - ну.., ну вот представь, что у тебя есть 1000 рублей... - Не-е-е, давай уж округлим... пусть у меня есть 1024 рубл&.",1
94,"Учительница на уроке дает задание:
- Дети на завтра задаю вам сочинить стих!
Hа следующий день... Вовочка выходит к доске:
- Ну давай Вовочка!...
Вовочка:
- Стоит статУя
В лучах заката
С огромным хУем
В руках лопата!
Учительница:
- Вовочка а можно как нибудь без Этого?!
Вовочка с ходу:
- Стоит статУя
В лучах заката
С обрубком хУя
В руках лопата!
Учительница:
- Вовочка а можно СОВСЕМ без ЭТОГО?!!!!
Вовочка: - Стоит статУя
В лучах заката
Совсем без хУя
в руках лопата!
Учительница (обреченно так):
- Вовочка ну я же просила - без ЭТОГО....
Вовочка:
- Стоит лопата
В лучах заката!
CтатУя с хУем
ушла куда-то...",0
95,- Избавиться от интернет-зависимости очень легко! У нас в чате все проделывали это по нескольку раз.,1
96,"Учительница говорит:
- Дети скоро праздник - 8 Марта сочините какой-нибудь стишок по этому поводу.
Вовочка встает и расказывает:
- Восьмое Марта близко-близко
Расти скорей моя пиписка.
Учительница:
- Вон!!! К директору и расскажешь за что я тебя выгнала!
Приходит он к директору так мол и так за стишок посвященный 8 Марта выгнали. Директор выслушал стишок и говорит:
- Дурак ты вот какой стишок надо сочинять:
Восьмое Марта близко-близко
И сердце бьется как олень
Не подведи меня пиписка
В международный женский день!",0
97,"Вы много смотрите нового русского кино, если знаете, что:- Любая информация (особенно данные из баз данных) на экране компьютера представлена в виде Word`овского файла - других программ режиссеры, видимо, просто не знают.",1
98,"Перед 8 марта мама приходит с работы к ней подбегает Вовочка:
- Мамочка а я посуду помыл!
- Молодец Вовочка!
- Мамочка. а я полы помыл!
- Молодец Вовочка!
- Мамочка а у нас кошка беремена!
- Мо-ло-дец Вовочка!",0
99,Взломали русские хакеры бортовой компьютер Миг-29. Теперь он бессмертный и имеет бесконечное вооружение.,1
